epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,8007.63,0.97737,0.76705,1.40071,0.87793,0.93992,0.93909,0.70357,0.96832,0.55794,1.3729,0.0058816,0.0058816,0.0058816
106,8083.09,0.97036,0.75033,1.39377,0.87393,0.9491,0.9396,0.71345,0.97845,0.56179,1.382,0.005842,0.005842,0.005842
107,8158.79,0.97866,0.75627,1.4013,0.95312,0.91714,0.94253,0.71768,0.97933,0.55944,1.38155,0.0058024,0.0058024,0.0058024
108,8234.56,0.96696,0.73786,1.3874,0.96531,0.88827,0.94424,0.73819,0.96229,0.55502,1.35906,0.0057628,0.0057628,0.0057628
109,8310.23,0.97142,0.74912,1.39352,0.94698,0.91371,0.94696,0.72744,0.97612,0.55222,1.37538,0.0057232,0.0057232,0.0057232
110,8385.83,0.95124,0.73488,1.38329,0.92487,0.90578,0.94806,0.74689,0.96702,0.54815,1.36864,0.0056836,0.0056836,0.0056836
111,8461.84,0.97171,0.74546,1.39463,0.91629,0.92565,0.94777,0.72328,0.97119,0.55026,1.36632,0.005644,0.005644,0.005644
112,8537.45,0.96153,0.73561,1.38673,0.9501,0.90532,0.94509,0.71308,0.96046,0.5432,1.363,0.0056044,0.0056044,0.0056044
113,8612.87,0.94875,0.73147,1.3743,0.93894,0.90662,0.94563,0.70056,0.97579,0.549,1.37533,0.0055648,0.0055648,0.0055648
114,8688.3,0.94832,0.739,1.3732,0.94973,0.88772,0.93257,0.71425,0.95453,0.54477,1.35428,0.0055252,0.0055252,0.0055252
115,8763.96,0.94643,0.73064,1.37421,0.93155,0.8894,0.94181,0.74961,0.95062,0.53849,1.35677,0.0054856,0.0054856,0.0054856
116,8839.81,0.94419,0.7291,1.36689,0.94959,0.91625,0.95049,0.7344,0.95027,0.52902,1.35279,0.005446,0.005446,0.005446
117,8915.51,0.94222,0.72051,1.3689,0.93634,0.8907,0.94291,0.70992,0.95159,0.52693,1.35284,0.0054064,0.0054064,0.0054064
118,8991.1,0.92784,0.71154,1.35379,0.92819,0.92087,0.94699,0.74616,0.94496,0.52079,1.3485,0.0053668,0.0053668,0.0053668
119,9067,0.93405,0.70991,1.35881,0.95441,0.87177,0.93974,0.72006,0.94597,0.52017,1.34941,0.0053272,0.0053272,0.0053272
120,9142.59,0.93111,0.69859,1.36117,0.94885,0.92905,0.9524,0.7143,0.94558,0.51413,1.33746,0.0052876,0.0052876,0.0052876
121,9218.2,0.93354,0.6954,1.36011,0.93419,0.9224,0.94551,0.72585,0.94019,0.51249,1.33775,0.005248,0.005248,0.005248
122,9293.95,0.92266,0.69378,1.34505,0.92089,0.92495,0.95214,0.72469,0.94262,0.51921,1.33337,0.0052084,0.0052084,0.0052084
123,9369.54,0.93001,0.69209,1.34703,0.95068,0.87666,0.94584,0.74569,0.93812,0.51133,1.32596,0.0051688,0.0051688,0.0051688
124,9445.27,0.92028,0.68915,1.34201,0.95046,0.89882,0.95227,0.74964,0.93958,0.50971,1.33317,0.0051292,0.0051292,0.0051292
125,9520.97,0.92025,0.686,1.33709,0.92239,0.94062,0.95228,0.75436,0.93444,0.51793,1.32999,0.0050896,0.0050896,0.0050896
126,9596.7,0.91475,0.67656,1.33875,0.95397,0.9112,0.95193,0.74936,0.92924,0.51241,1.32865,0.00505,0.00505,0.00505
127,9672.45,0.90797,0.68276,1.33426,0.94058,0.90972,0.94941,0.74743,0.92683,0.51047,1.32633,0.0050104,0.0050104,0.0050104
128,9748.07,0.92245,0.69071,1.33892,0.93114,0.88876,0.93562,0.75163,0.92504,0.50265,1.32351,0.0049708,0.0049708,0.0049708
129,9823.9,0.9109,0.68045,1.32949,0.93682,0.9119,0.94813,0.71896,0.9224,0.50831,1.31721,0.0049312,0.0049312,0.0049312
130,9899.59,0.90906,0.68092,1.33209,0.94426,0.90849,0.94274,0.75958,0.92055,0.50627,1.31797,0.0048916,0.0048916,0.0048916
131,9975.24,0.90531,0.67722,1.32921,0.94342,0.88744,0.94457,0.75161,0.92632,0.50803,1.32278,0.004852,0.004852,0.004852
132,10051,0.89564,0.67251,1.32493,0.94458,0.92195,0.95482,0.75285,0.92908,0.50374,1.32385,0.0048124,0.0048124,0.0048124
133,10126.8,0.89557,0.66575,1.32702,0.94239,0.92199,0.95437,0.75804,0.92582,0.49604,1.32105,0.0047728,0.0047728,0.0047728
134,10202.5,0.89285,0.66222,1.31803,0.9364,0.9037,0.95372,0.75066,0.92541,0.49942,1.32215,0.0047332,0.0047332,0.0047332
135,10278.1,0.89946,0.66144,1.32505,0.94864,0.87354,0.95157,0.72648,0.91457,0.49458,1.31172,0.0046936,0.0046936,0.0046936
136,10353.8,0.89158,0.65531,1.32092,0.93124,0.90627,0.95276,0.74025,0.91421,0.48618,1.31058,0.004654,0.004654,0.004654
137,10429.4,0.87941,0.65369,1.30752,0.94058,0.90326,0.95507,0.74928,0.90878,0.48713,1.30454,0.0046144,0.0046144,0.0046144
138,10505,0.87687,0.64638,1.30969,0.95642,0.91299,0.95671,0.76274,0.90964,0.48497,1.31021,0.0045748,0.0045748,0.0045748
139,10580.7,0.87132,0.64263,1.30667,0.95776,0.92264,0.95951,0.76247,0.91049,0.48643,1.30909,0.0045352,0.0045352,0.0045352
140,10656.5,0.88667,0.64876,1.31516,0.95146,0.9116,0.95723,0.73939,0.91461,0.48441,1.31163,0.0044956,0.0044956,0.0044956
141,10732.2,0.87088,0.63534,1.29815,0.95483,0.92898,0.95922,0.74851,0.91519,0.48661,1.30929,0.004456,0.004456,0.004456
142,10807.7,0.87106,0.63468,1.29649,0.94195,0.92233,0.95008,0.75197,0.90622,0.48243,1.30243,0.0044164,0.0044164,0.0044164
143,10883.4,0.87144,0.63531,1.3036,0.93492,0.92132,0.95184,0.74624,0.89775,0.48252,1.29407,0.0043768,0.0043768,0.0043768
144,10958.9,0.86715,0.63535,1.29496,0.95908,0.90527,0.95637,0.75143,0.89088,0.47774,1.28735,0.0043372,0.0043372,0.0043372
145,11034.6,0.86158,0.62986,1.29348,0.95052,0.92331,0.96012,0.75097,0.88946,0.47648,1.28755,0.0042976,0.0042976,0.0042976
146,11110.7,0.8633,0.62261,1.2857,0.95576,0.92356,0.95973,0.74758,0.89132,0.47828,1.28587,0.004258,0.004258,0.004258
147,11186.2,0.85288,0.62467,1.27786,0.95223,0.93598,0.96127,0.75046,0.88707,0.47499,1.28341,0.0042184,0.0042184,0.0042184
148,11261.9,0.85856,0.62902,1.28801,0.92459,0.93807,0.95927,0.74525,0.88268,0.47666,1.28136,0.0041788,0.0041788,0.0041788
149,11337.6,0.84357,0.61429,1.27581,0.91729,0.93969,0.95793,0.73864,0.88261,0.47864,1.27941,0.0041392,0.0041392,0.0041392
150,11413.2,0.85112,0.61957,1.28594,0.90926,0.93798,0.95877,0.7461,0.88235,0.4747,1.27993,0.0040996,0.0040996,0.0040996
151,11489,0.84397,0.61172,1.27591,0.91734,0.93373,0.9577,0.74676,0.88317,0.47848,1.27937,0.00406,0.00406,0.00406
152,11564.7,0.84583,0.61027,1.27821,0.91173,0.93329,0.95733,0.75067,0.88278,0.47848,1.28053,0.0040204,0.0040204,0.0040204
153,11640,0.84514,0.61336,1.2745,0.93175,0.91325,0.95536,0.74638,0.88196,0.47903,1.27945,0.0039808,0.0039808,0.0039808
154,11715.7,0.84906,0.6134,1.2738,0.95606,0.90752,0.95621,0.7351,0.88216,0.47926,1.27689,0.0039412,0.0039412,0.0039412
155,11791.4,0.84294,0.60674,1.27216,0.96073,0.91297,0.95876,0.74251,0.88507,0.48072,1.27979,0.0039016,0.0039016,0.0039016
156,11867.1,0.83505,0.60207,1.26839,0.95224,0.93006,0.95839,0.74411,0.88262,0.47974,1.27836,0.003862,0.003862,0.003862
157,11942.9,0.82032,0.59488,1.26035,0.96258,0.93531,0.95845,0.7466,0.88142,0.47681,1.27901,0.0038224,0.0038224,0.0038224
158,12018.4,0.82077,0.58838,1.25652,0.96352,0.9288,0.95909,0.7537,0.87864,0.47234,1.27527,0.0037828,0.0037828,0.0037828
159,12094.1,0.82305,0.59717,1.25782,0.96668,0.93364,0.95991,0.75198,0.87766,0.47137,1.27377,0.0037432,0.0037432,0.0037432
160,12169.8,0.81984,0.59613,1.25589,0.95386,0.93437,0.96002,0.74861,0.87924,0.47253,1.27458,0.0037036,0.0037036,0.0037036
161,12245.5,0.83207,0.60038,1.26529,0.95483,0.92257,0.96021,0.75035,0.87902,0.46921,1.27612,0.003664,0.003664,0.003664
162,12321.2,0.80988,0.5917,1.25147,0.95008,0.92076,0.9598,0.74411,0.88281,0.47313,1.28164,0.0036244,0.0036244,0.0036244
163,12397,0.81099,0.57987,1.24854,0.94766,0.92063,0.95873,0.75737,0.88368,0.47259,1.283,0.0035848,0.0035848,0.0035848
164,12472.7,0.80804,0.57875,1.24488,0.9479,0.9199,0.95724,0.75393,0.88474,0.47264,1.28192,0.0035452,0.0035452,0.0035452
165,12548.5,0.80952,0.58441,1.25038,0.94983,0.91919,0.9563,0.7512,0.88523,0.4714,1.28192,0.0035056,0.0035056,0.0035056
166,12624.2,0.80485,0.58424,1.2418,0.95001,0.91939,0.95637,0.76439,0.8839,0.47188,1.28176,0.003466,0.003466,0.003466
167,12699.9,0.79937,0.56416,1.23647,0.94584,0.922,0.95706,0.76558,0.88312,0.46858,1.27974,0.0034264,0.0034264,0.0034264
168,12775.5,0.80819,0.58199,1.24365,0.95065,0.92055,0.95747,0.73932,0.88029,0.46816,1.27632,0.0033868,0.0033868,0.0033868
169,12851.3,0.81089,0.57998,1.24767,0.94811,0.92106,0.95654,0.76681,0.87665,0.46686,1.27323,0.0033472,0.0033472,0.0033472
170,12927.3,0.78681,0.57258,1.23489,0.94457,0.92234,0.95663,0.76684,0.8757,0.46622,1.27313,0.0033076,0.0033076,0.0033076
171,13002.8,0.79956,0.57588,1.23329,0.95152,0.91166,0.9584,0.77831,0.87278,0.4639,1.27156,0.003268,0.003268,0.003268
172,13078.7,0.79058,0.56707,1.2315,0.95612,0.9098,0.95901,0.76825,0.86927,0.46137,1.2684,0.0032284,0.0032284,0.0032284
173,13154.8,0.79675,0.56632,1.2325,0.96124,0.91847,0.95922,0.7704,0.86991,0.46097,1.26788,0.0031888,0.0031888,0.0031888
174,13231,0.78635,0.55403,1.2293,0.96115,0.91088,0.95887,0.77088,0.87327,0.46285,1.27016,0.0031492,0.0031492,0.0031492
175,13307,0.79007,0.55303,1.23096,0.96129,0.92228,0.96,0.76933,0.87241,0.45954,1.26875,0.0031096,0.0031096,0.0031096
176,13382.3,0.78491,0.55936,1.22373,0.96334,0.92606,0.95892,0.76415,0.87227,0.4609,1.26985,0.00307,0.00307,0.00307
177,13458.3,0.78641,0.56086,1.22799,0.96212,0.92464,0.95958,0.76134,0.8701,0.45935,1.26769,0.0030304,0.0030304,0.0030304
178,13534.2,0.77853,0.55971,1.22369,0.96214,0.92449,0.96025,0.75683,0.86797,0.46106,1.26632,0.0029908,0.0029908,0.0029908
179,13610.1,0.7759,0.55339,1.21708,0.95944,0.92072,0.96069,0.75548,0.86731,0.46105,1.266,0.0029512,0.0029512,0.0029512
180,13686.1,0.7734,0.55277,1.22213,0.95713,0.91942,0.96106,0.74848,0.86588,0.46096,1.26431,0.0029116,0.0029116,0.0029116
